token_id,decision_score,entry_sec,entry_price,slot0_price,peak_price,exit_sec,exit_price,exit_reason,gross_roi,net_roi,fee_drag,slip_drag,max_drawdown,holding_sec,hit_2x_actual,strategy
228482,0.7502252791233234,1,3.418420282795794e-8,3.1640836236719675e-8,3.454385977237407e-8,14,1.043953435966238e-8,sl_50,-0.6946093956848312,-0.7020671989192145,0.02,-0.012542196765616614,-0.6946093956848312,13,0,deployer_sell_exit
228550,0.7609090758866837,1,3.0664099362436145e-8,2.9339684579683824e-8,8.735135767024241e-8,21,1.4508050909357864e-8,sl_50,-0.5268717747787374,-0.5387402507078431,0.02,-0.008131524070894219,-0.5268717747787374,20,1,deployer_sell_exit
228641,0.7467329705037294,1,3.2999570651739105e-8,3.029144086486518e-8,6.23979542207213e-8,3,6.23979542207213e-8,deployer_sell,0.8908716988847512,0.8399690682002094,0.02,0.030902630684541705,0.0,2,1,deployer_sell_exit
228685,0.8326817190482529,1,6.611063109880757e-8,4.2961582275489476e-8,6.611063109880757e-8,2,6.068809722383208e-8,deployer_sell,-0.08202211633513345,-0.10405481518434109,0.02,0.0020326988492076377,-0.08202211633513345,1,1,deployer_sell_exit
228698,0.8418915045690335,1,5.958744035059311e-8,4.022460706617438e-8,8.303703024718462e-8,337,2.9516506914668687e-8,sl_50,-0.5046522095763274,-0.5163722733452332,0.02,-0.008279936231094225,-0.5046522095763274,336,1,deployer_sell_exit
228806,0.7484591690477734,1,2.8329345082481536e-8,2.814308575477979e-8,5.6599475798115536e-8,37,1.1440325809923393e-8,sl_50,-0.5961669506790707,-0.6063140484647591,0.02,-0.009852902214311548,-0.5961669506790707,36,1,deployer_sell_exit
228925,0.8815826549137126,1,4.478247207955761e-8,3.3984682628210364e-8,4.961071892559208e-8,6,4.6220179589883856e-8,deployer_sell,0.03210424622767838,0.006275901400731171,0.02,0.005828344826947208,-0.025967921624584944,5,1,deployer_sell_exit
229031,0.7492669273971102,1,3.894361496646083e-8,3.256129700286598e-8,6.363869934634666e-8,17,1.940042146951081e-8,sl_50,-0.5018330607926635,-0.5140643290098158,0.02,-0.0077687317828477424,-0.5018330607926635,16,0,deployer_sell_exit
229135,0.7300459039580838,2,4.4653298248864386e-8,3.529578107835021e-8,1.312080964046673e-7,1796,1.310416324054066e-7,timeout,1.9346462085527851,1.8560132543395893,0.02,0.05863295421319582,-0.019865876505240188,1794,1,deployer_sell_exit
229229,0.7417258933584753,1,5.261073232219573e-8,3.807496400616786e-8,5.954882570515818e-8,46,5.954882570515818e-8,deployer_sell,0.13187600850093784,0.10387087853957047,0.02,0.008005129961367364,0.0,45,1,deployer_sell_exit
229236,0.7608619323269158,2,2.8036601006417185e-8,2.8005671041566015e-8,2.8036601006417185e-8,5,1.300411634294304e-8,sl_50,-0.5361735775329335,-0.5479082102630269,0.02,-0.008265367269906548,-0.5361735775329335,3,0,deployer_sell_exit
229266,0.8129310411710775,1,4.6213868730612865e-8,3.578106844054329e-8,4.6213868730612865e-8,1,3.890172884175818e-8,deployer_sell,-0.1582239290867028,-0.17901595707247905,0.02,0.0007920279857762565,-0.1582239290867028,0,0,deployer_sell_exit
